T09,Health Personnel,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,2001,Health personnel: Physicians (number),4104.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2001,Health personnel: Physicians (per 1000 population),1.9000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2001,Health personnel: Pharmacists (number),525.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2001,Health personnel: Pharmacists (per 1000 population),0.0243,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2005,Health personnel: Pharmacists (number),900.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2005,Health personnel: Pharmacists (per 1000 population),0.0351,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2005,Health personnel: Nurses and midwives (number),14930.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2005,Health personnel: Nurses and midwives personnel (per 1000 population),0.5820,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2008,Health personnel: Physicians (number),4834.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2008,Health personnel: Physicians (per 1000 population),1.7400,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2008,Health personnel: Dentists (number),382.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2008,Health personnel: Dentists (per 1000 population),0.0140,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2008,Health personnel: Pharmacists (number),829.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2008,Health personnel: Pharmacists (per 1000 population),0.0299,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2008,Health personnel: Nurses and midwives (number),13780.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2008,Health personnel: Nurses and midwives personnel (per 1000 population),0.4971,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2009,Health personnel: Physicians (number),6037.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2009,Health personnel: Physicians (per 1000 population),2.1300,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2009,Health personnel: Pharmacists (number),847.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2009,Health personnel: Pharmacists (per 1000 population),0.0298,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2009,Health personnel: Nurses and midwives (number),17257.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2009,Health personnel: Nurses and midwives personnel (per 1000 population),0.6078,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2010,Health personnel: Physicians (number),6901.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2010,Health personnel: Physicians (per 1000 population),2.3700,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2010,Health personnel: Pharmacists (number),814.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2010,Health personnel: Pharmacists (per 1000 population),0.0279,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2015,Health personnel: Physicians (number),9808.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2015,Health personnel: Physicians (per 1000 population),2.8500,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2015,Health personnel: Dentists (number),123.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2015,Health personnel: Dentists (per 1000 population),0.0036,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
4,Afghanistan,2015,Health personnel: Pharmacists (number),1712.0000,,"World Health Organisation (WHO), Geneva, WHO Global Health Workforce statistics database, last accessed April 2020."
