T26,Population employed in research and development (R&D),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
8,Albania,2008,R & D personnel: Total (number in full-time equivalent),779.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
8,Albania,2008,R & D personnel: Researchers - total (number in full-time equivalent),467.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
8,Albania,2008,R & D personnel: Researchers - women (number in full-time equivalent),207.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
8,Albania,2008,R & D personnel: Technicians - total (number in full-time equivalent),120.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
8,Albania,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),192.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2005,R & D personnel: Total (number in full-time equivalent),7331.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2005,R & D personnel: Researchers - total (number in full-time equivalent),5593.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2005,R & D personnel: Researchers - women (number in full-time equivalent),2043.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2005,R & D personnel: Technicians - total (number in full-time equivalent),1134.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),604.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2017,R & D personnel: Total (number in full-time equivalent),38045.5800,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2017,R & D personnel: Researchers - total (number in full-time equivalent),33911.9300,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2017,R & D personnel: Researchers - women (number in full-time equivalent),15841.3900,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2017,R & D personnel: Technicians - total (number in full-time equivalent),1732.6200,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2017,R & D personnel: Technicians - women (number in full-time equivalent),646.1200,Excluding Higher Education.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),2401.0300,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),973.2100,Excluding Higher Education.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
16,American Samoa,2005,R & D personnel: Total (number in full-time equivalent),6.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
16,American Samoa,2005,R & D personnel: Researchers - total (number in full-time equivalent),6.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2011,R & D personnel: Total (number in full-time equivalent),2038.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2011,R & D personnel: Researchers - total (number in full-time equivalent),1150.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2011,R & D personnel: Researchers - women (number in full-time equivalent),320.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2011,R & D personnel: Technicians - total (number in full-time equivalent),858.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2011,R & D personnel: Technicians - women (number in full-time equivalent),242.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),30.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2011,R & D personnel: Other supporting staff - women (number in full-time equivalent),6.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2016,R & D personnel: Researchers - total (number in full-time equivalent),542.7000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2016,R & D personnel: Researchers - women (number in full-time equivalent),156.9000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2005,R & D personnel: Total (number in full-time equivalent),45361.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2005,R & D personnel: Researchers - total (number in full-time equivalent),31868.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2005,R & D personnel: Researchers - women (number in full-time equivalent),15416.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
