T10,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,2005,Current health expenditure (% of GDP),9.9483,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
4,Afghanistan,2010,Current health expenditure (% of GDP),8.5697,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
4,Afghanistan,2015,Current health expenditure (% of GDP),10.1053,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
4,Afghanistan,2016,Current health expenditure (% of GDP),10.9620,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
4,Afghanistan,2017,Current health expenditure (% of GDP),11.7772,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
4,Afghanistan,2005,Domestic general government health expenditure (% of total government expenditure),3.3710,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
4,Afghanistan,2010,Domestic general government health expenditure (% of total government expenditure),2.2555,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
4,Afghanistan,2015,Domestic general government health expenditure (% of total government expenditure),2.0144,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
4,Afghanistan,2016,Domestic general government health expenditure (% of total government expenditure),2.1411,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
4,Afghanistan,2017,Domestic general government health expenditure (% of total government expenditure),2.3191,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
8,Albania,2000,Domestic general government health expenditure (% of total government expenditure),8.0485,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
8,Albania,2005,Domestic general government health expenditure (% of total government expenditure),9.2537,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
8,Albania,2010,Domestic general government health expenditure (% of total government expenditure),15.2140,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
8,Albania,2015,Domestic general government health expenditure (% of total government expenditure),14.5546,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
8,Albania,2016,Domestic general government health expenditure (% of total government expenditure),15.0501,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
8,Albania,2017,Domestic general government health expenditure (% of total government expenditure),14.6789,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
12,Algeria,2000,Current health expenditure (% of GDP),3.4890,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
12,Algeria,2005,Current health expenditure (% of GDP),3.2352,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
12,Algeria,2010,Current health expenditure (% of GDP),5.1172,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
12,Algeria,2015,Current health expenditure (% of GDP),6.9785,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
12,Algeria,2016,Current health expenditure (% of GDP),6.6038,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
12,Algeria,2017,Current health expenditure (% of GDP),6.3743,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
12,Algeria,2000,Domestic general government health expenditure (% of total government expenditure),8.7881,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
12,Algeria,2005,Domestic general government health expenditure (% of total government expenditure),8.2694,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
12,Algeria,2010,Domestic general government health expenditure (% of total government expenditure),9.5448,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
12,Algeria,2015,Domestic general government health expenditure (% of total government expenditure),10.7331,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
12,Algeria,2016,Domestic general government health expenditure (% of total government expenditure),10.7343,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
12,Algeria,2017,Domestic general government health expenditure (% of total government expenditure),10.7341,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
20,Andorra,2000,Current health expenditure (% of GDP),9.3481,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
20,Andorra,2005,Current health expenditure (% of GDP),8.5660,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
20,Andorra,2010,Current health expenditure (% of GDP),9.4497,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
20,Andorra,2015,Current health expenditure (% of GDP),10.2527,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
20,Andorra,2016,Current health expenditure (% of GDP),10.3241,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
20,Andorra,2017,Current health expenditure (% of GDP),10.3206,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
20,Andorra,2000,Domestic general government health expenditure (% of total government expenditure),12.9924,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
20,Andorra,2005,Domestic general government health expenditure (% of total government expenditure),10.9966,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
20,Andorra,2010,Domestic general government health expenditure (% of total government expenditure),10.8924,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
20,Andorra,2015,Domestic general government health expenditure (% of total government expenditure),15.2437,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
20,Andorra,2016,Domestic general government health expenditure (% of total government expenditure),14.0176,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
20,Andorra,2017,Domestic general government health expenditure (% of total government expenditure),14.0176,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
24,Angola,2000,Current health expenditure (% of GDP),1.9086,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
24,Angola,2005,Current health expenditure (% of GDP),2.8522,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
24,Angola,2010,Current health expenditure (% of GDP),2.6951,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
24,Angola,2015,Current health expenditure (% of GDP),2.6058,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
24,Angola,2016,Current health expenditure (% of GDP),2.7131,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
24,Angola,2017,Current health expenditure (% of GDP),2.7915,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
24,Angola,2000,Domestic general government health expenditure (% of total government expenditure),2.7386,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
24,Angola,2005,Domestic general government health expenditure (% of total government expenditure),4.8206,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
24,Angola,2010,Domestic general government health expenditure (% of total government expenditure),4.2496,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
24,Angola,2015,Domestic general government health expenditure (% of total government expenditure),4.5626,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
24,Angola,2016,Domestic general government health expenditure (% of total government expenditure),5.4327,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
24,Angola,2017,Domestic general government health expenditure (% of total government expenditure),5.4284,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
28,Antigua and Barbuda,2000,Current health expenditure (% of GDP),4.4807,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
28,Antigua and Barbuda,2005,Current health expenditure (% of GDP),4.9707,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
28,Antigua and Barbuda,2010,Current health expenditure (% of GDP),5.1871,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
28,Antigua and Barbuda,2015,Current health expenditure (% of GDP),4.7018,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
28,Antigua and Barbuda,2016,Current health expenditure (% of GDP),4.3573,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
28,Antigua and Barbuda,2017,Current health expenditure (% of GDP),4.5335,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
28,Antigua and Barbuda,2000,Domestic general government health expenditure (% of total government expenditure),11.0006,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
28,Antigua and Barbuda,2005,Domestic general government health expenditure (% of total government expenditure),11.4314,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
28,Antigua and Barbuda,2010,Domestic general government health expenditure (% of total government expenditure),13.1275,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
28,Antigua and Barbuda,2015,Domestic general government health expenditure (% of total government expenditure),9.9251,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
28,Antigua and Barbuda,2016,Domestic general government health expenditure (% of total government expenditure),8.8509,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
28,Antigua and Barbuda,2017,Domestic general government health expenditure (% of total government expenditure),9.4786,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
32,Argentina,2000,Current health expenditure (% of GDP),8.4670,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
32,Argentina,2005,Current health expenditure (% of GDP),7.6108,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
32,Argentina,2010,Current health expenditure (% of GDP),8.6137,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
32,Argentina,2015,Current health expenditure (% of GDP),8.7885,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
32,Argentina,2016,Current health expenditure (% of GDP),7.5444,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
32,Argentina,2017,Current health expenditure (% of GDP),9.1243,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
32,Argentina,2000,Domestic general government health expenditure (% of total government expenditure),17.8199,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
32,Argentina,2005,Domestic general government health expenditure (% of total government expenditure),16.0222,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
32,Argentina,2010,Domestic general government health expenditure (% of total government expenditure),16.6930,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
32,Argentina,2015,Domestic general government health expenditure (% of total government expenditure),16.4976,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
32,Argentina,2016,Domestic general government health expenditure (% of total government expenditure),13.4864,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
32,Argentina,2017,Domestic general government health expenditure (% of total government expenditure),16.0513,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
51,Armenia,2000,Current health expenditure (% of GDP),4.1958,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
51,Armenia,2005,Current health expenditure (% of GDP),5.8619,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
51,Armenia,2010,Current health expenditure (% of GDP),9.2354,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
51,Armenia,2015,Current health expenditure (% of GDP),10.1176,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
51,Armenia,2016,Current health expenditure (% of GDP),9.9520,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
51,Armenia,2017,Current health expenditure (% of GDP),10.3627,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
51,Armenia,2000,Domestic general government health expenditure (% of total government expenditure),3.8699,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
51,Armenia,2005,Domestic general government health expenditure (% of total government expenditure),7.4400,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
51,Armenia,2010,Domestic general government health expenditure (% of total government expenditure),6.4361,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
51,Armenia,2015,Domestic general government health expenditure (% of total government expenditure),6.1153,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
51,Armenia,2016,Domestic general government health expenditure (% of total government expenditure),6.0535,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
51,Armenia,2017,Domestic general government health expenditure (% of total government expenditure),5.2735,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
36,Australia,2000,Current health expenditure (% of GDP),7.6139,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
36,Australia,2005,Current health expenditure (% of GDP),7.9901,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
36,Australia,2010,Current health expenditure (% of GDP),8.4308,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
36,Australia,2015,Current health expenditure (% of GDP),9.3147,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
36,Australia,2016,Current health expenditure (% of GDP),9.1961,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
36,Australia,2017,Current health expenditure (% of GDP),9.2059,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
36,Australia,2000,Domestic general government health expenditure (% of total government expenditure),15.1643,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
36,Australia,2005,Domestic general government health expenditure (% of total government expenditure),16.3350,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
36,Australia,2010,Domestic general government health expenditure (% of total government expenditure),16.2633,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
